full_filename,owner_name,group_name,mode,type,prot_permissions,size_bytes,size_error
/var/assetguard-manager/bin/verify-agent-conf,root,assetguard-manager,750,file,-rwxr-x---,,
/var/assetguard-manager/bin/assetguard-manager-analysisd,root,root,750,file,-rwxr-x---,,
/var/assetguard-manager/bin/assetguard-manager-apid,root,assetguard-manager,750,file,-rwxr-x---,,
/var/assetguard-manager/bin/assetguard-manager-authd,root,root,750,file,-rwxr-x---,,
/var/assetguard-manager/bin/assetguard-manager-clusterd,root,assetguard-manager,750,file,-rwxr-x---,,
/var/assetguard-manager/bin/assetguard-manager-control,root,root,750,file,-rwxr-x---,,
/var/assetguard-manager/bin/assetguard-manager-db,root,root,750,file,-rwxr-x---,,
/var/assetguard-manager/bin/assetguard-manager-keystore,root,root,750,file,-rwxr-x---,,
/var/assetguard-manager/bin/assetguard-manager-modulesd,root,root,750,file,-rwxr-x---,,
/var/assetguard-manager/bin/assetguard-manager-monitord,root,root,750,file,-rwxr-x---,,
/var/assetguard-manager/bin/assetguard-manager-remoted,root,root,750,file,-rwxr-x---,,
/var/assetguard-manager/engine,root,root,755,directory,drwxr-xr-x,,
/var/assetguard-manager/engine/mmdb,root,assetguard-manager,770,directory,drwxrwx---,,
/var/assetguard-manager/engine/mmdb/GeoLite2-ASN.mmdb,assetguard-manager,assetguard-manager,660,file,-rw-rw----,,
/var/assetguard-manager/engine/mmdb/GeoLite2-City.mmdb,assetguard-manager,assetguard-manager,660,file,-rw-rw----,,
/var/assetguard-manager/engine/outputs,assetguard-manager,assetguard-manager,770,directory,drwxrwx---,,
/var/assetguard-manager/engine/outputs/file-output-integrations.yml,assetguard-manager,assetguard-manager,660,file,-rw-rw----,,
/var/assetguard-manager/engine/outputs/indexer.yml,assetguard-manager,assetguard-manager,660,file,-rw-rw----,,
